assigned_message,message_language,date_sent,is_chosen_from_uniform,is_within_one_week_after_send,count
message_5,English,2021-06-10,True,False,566
message_5,English,2021-06-10,True,True,4
message_5,English,2021-06-11,False,False,1
message_5,English,2021-06-11,True,False,563
message_5,English,2021-06-11,True,True,2
message_5,English,2021-06-14,False,False,2
message_5,English,2021-06-14,True,False,566
message_5,English,2021-06-14,True,True,1
message_5,English,2021-06-15,False,False,1
message_5,English,2021-06-15,True,False,562
message_5,English,2021-06-15,True,True,5
message_5,Spanish,2021-06-09,True,False,1
message_5,Spanish,2021-06-09,True,True,1
message_5,Spanish,2021-06-10,True,False,4
message_5,Spanish,2021-06-11,True,False,8
message_5,Spanish,2021-06-14,True,False,5
message_5,Spanish,2021-06-15,True,False,6
message_6,English,2021-05-25,True,False,1103
message_6,English,2021-05-25,True,True,8
message_6,English,2021-05-26,True,False,1099
message_6,English,2021-05-26,True,True,12
message_6,English,2021-05-27,True,False,1094
message_6,English,2021-05-27,True,True,17
message_6,English,2021-05-28,True,False,1102
message_6,English,2021-05-28,True,True,9
message_6,English,2021-06-02,False,False,176
message_6,English,2021-06-02,False,True,3
message_6,English,2021-06-02,True,False,218
message_6,English,2021-06-02,True,True,1
message_6,English,2021-06-03,False,False,162
message_6,English,2021-06-03,False,True,2
message_6,English,2021-06-03,True,False,230
message_6,English,2021-06-03,True,True,5
message_6,English,2021-06-04,False,False,176
message_6,English,2021-06-04,True,False,220
message_6,English,2021-06-04,True,True,1
message_6,English,2021-06-07,False,False,172
message_6,English,2021-06-07,False,True,1
message_6,English,2021-06-07,True,False,223
message_6,English,2021-06-07,True,True,2
message_6,English,2021-06-08,False,False,170
message_6,English,2021-06-08,False,True,2
message_6,English,2021-06-08,True,False,225
message_6,English,2021-06-08,True,True,1
message_6,English,2021-06-09,False,False,9340
message_6,English,2021-06-09,False,True,84
message_6,English,2021-06-09,True,False,649
message_6,English,2021-06-09,True,True,2
message_6,English,2021-06-10,False,False,9434
message_6,English,2021-06-10,False,True,81
message_6,English,2021-06-10,True,False,569
message_6,English,2021-06-10,True,True,5
message_6,English,2021-06-11,False,False,9447
message_6,English,2021-06-11,False,True,62
message_6,English,2021-06-11,True,False,574
message_6,English,2021-06-11,True,True,5
message_6,English,2021-06-14,False,False,9443
message_6,English,2021-06-14,False,True,72
message_6,English,2021-06-14,True,False,562
message_6,English,2021-06-14,True,True,2
message_6,English,2021-06-15,False,False,9456
message_6,English,2021-06-15,False,True,55
message_6,English,2021-06-15,True,False,563
message_6,English,2021-06-15,True,True,5
message_6,Spanish,2021-06-09,False,False,75
message_6,Spanish,2021-06-09,False,True,2
message_6,Spanish,2021-06-09,True,False,4
message_6,Spanish,2021-06-10,False,False,60
message_6,Spanish,2021-06-10,False,True,1
message_6,Spanish,2021-06-10,True,False,6
message_6,Spanish,2021-06-11,False,False,64
message_6,Spanish,2021-06-11,False,True,1
message_6,Spanish,2021-06-11,True,False,3
message_6,Spanish,2021-06-14,False,False,71
message_6,Spanish,2021-06-14,False,True,1
message_6,Spanish,2021-06-14,True,False,5
message_6,Spanish,2021-06-15,False,False,72
message_6,Spanish,2021-06-15,False,True,2
message_6,Spanish,2021-06-15,True,False,3
message_7,English,2021-05-25,True,False,1102
message_7,English,2021-05-25,True,True,9
message_7,English,2021-05-26,True,False,1099
message_7,English,2021-05-26,True,True,12
message_7,English,2021-05-27,True,False,1095
message_7,English,2021-05-27,True,True,16
message_7,English,2021-05-28,True,False,1106
message_7,English,2021-05-28,True,True,5
message_7,English,2021-06-02,False,False,894
message_7,English,2021-06-02,False,True,10
message_7,English,2021-06-02,True,False,211
message_7,English,2021-06-02,True,True,2
message_7,English,2021-06-03,False,False,907
message_7,English,2021-06-03,False,True,4
message_7,English,2021-06-03,True,False,206
message_7,English,2021-06-03,True,True,5
message_7,English,2021-06-04,False,False,892
message_7,English,2021-06-04,False,True,6
message_7,English,2021-06-04,True,False,217
message_7,English,2021-06-04,True,True,3
message_7,English,2021-06-07,False,False,909
message_7,English,2021-06-07,False,True,8
message_7,English,2021-06-07,True,False,204
message_7,English,2021-06-08,False,False,883
message_7,English,2021-06-08,False,True,8
message_7,English,2021-06-08,True,False,222
message_7,English,2021-06-09,False,False,1
message_7,English,2021-06-09,True,False,566
message_7,English,2021-06-09,True,True,10
message_7,English,2021-06-10,True,False,576
message_7,English,2021-06-10,True,True,3
message_7,English,2021-06-11,False,False,1
message_7,English,2021-06-11,True,False,572
message_7,English,2021-06-11,True,True,1
message_7,English,2021-06-14,False,False,2
message_7,English,2021-06-14,True,False,576
message_7,English,2021-06-14,True,True,1
message_7,English,2021-06-15,False,False,1
message_7,English,2021-06-15,True,False,571
message_7,English,2021-06-15,True,True,4
message_7,Spanish,2021-06-09,True,False,5
message_7,Spanish,2021-06-10,True,False,2
message_7,Spanish,2021-06-10,True,True,1
message_7,Spanish,2021-06-11,True,False,8
message_7,Spanish,2021-06-14,True,False,2
message_7,Spanish,2021-06-14,True,True,1
message_7,Spanish,2021-06-15,True,False,6
message_8,English,2021-05-25,True,False,1093
message_8,English,2021-05-25,True,True,18
message_8,English,2021-05-26,True,False,1094
message_8,English,2021-05-26,True,True,17
message_8,English,2021-05-27,True,False,1098
message_8,English,2021-05-27,True,True,13
message_8,English,2021-05-28,True,False,1096
message_8,English,2021-05-28,True,True,15
message_8,English,2021-06-02,False,False,561
message_8,English,2021-06-02,False,True,3
message_8,English,2021-06-02,True,False,220
message_8,English,2021-06-02,True,True,3
message_8,English,2021-06-03,False,False,567
message_8,English,2021-06-03,False,True,9
message_8,English,2021-06-03,True,False,212
message_8,English,2021-06-03,True,True,2
message_8,English,2021-06-04,False,False,572
message_8,English,2021-06-04,False,True,5
message_8,English,2021-06-04,True,False,208
message_8,English,2021-06-04,True,True,4
message_8,English,2021-06-07,False,False,578
message_8,English,2021-06-07,False,True,3
message_8,English,2021-06-07,True,False,209
message_8,English,2021-06-07,True,True,2
message_8,English,2021-06-08,False,False,561
message_8,English,2021-06-08,False,True,6
message_8,English,2021-06-08,True,False,220
message_8,English,2021-06-08,True,True,4
message_8,English,2021-06-09,False,False,188
message_8,English,2021-06-09,False,True,5
message_8,English,2021-06-09,True,False,559
message_8,English,2021-06-09,True,True,4
message_8,English,2021-06-10,False,False,170
message_8,English,2021-06-10,False,True,1
message_8,English,2021-06-10,True,False,579
message_8,English,2021-06-10,True,True,5
message_8,English,2021-06-11,False,False,198
message_8,English,2021-06-11,False,True,2
message_8,English,2021-06-11,True,False,553
message_8,English,2021-06-11,True,True,1
message_8,English,2021-06-14,False,False,174
message_8,English,2021-06-14,False,True,1
message_8,English,2021-06-14,True,False,575
message_8,English,2021-06-14,True,True,2
message_8,English,2021-06-15,False,False,188
message_8,English,2021-06-15,False,True,4
message_8,English,2021-06-15,True,False,557
message_8,English,2021-06-15,True,True,5
message_8,Spanish,2021-06-09,False,False,1
message_8,Spanish,2021-06-09,True,False,4
message_8,Spanish,2021-06-10,False,False,1
message_8,Spanish,2021-06-10,True,False,4
message_8,Spanish,2021-06-11,False,False,3
message_8,Spanish,2021-06-11,True,False,3
message_8,Spanish,2021-06-14,False,False,2
message_8,Spanish,2021-06-14,True,False,5
message_8,Spanish,2021-06-14,True,True,1
message_8,Spanish,2021-06-15,False,False,1
message_8,Spanish,2021-06-15,True,False,5
