assigned_message,message_language,date_sent,is_chosen_from_uniform,is_vax_after_send,count
message_1,English,2021-06-08,True,True,6
message_1,English,2021-06-09,False,False,189
message_1,English,2021-06-09,False,True,2
message_1,English,2021-06-09,True,False,541
message_1,English,2021-06-09,True,True,6
message_1,English,2021-06-10,False,False,177
message_1,English,2021-06-10,False,True,1
message_1,English,2021-06-10,True,False,555
message_1,English,2021-06-10,True,True,7
message_1,English,2021-06-11,False,False,187
message_1,English,2021-06-11,False,True,2
message_1,English,2021-06-11,True,False,544
message_1,English,2021-06-11,True,True,8
message_1,English,2021-06-14,False,False,165
message_1,English,2021-06-14,False,True,1
message_1,English,2021-06-14,True,False,569
message_1,English,2021-06-14,True,True,5
message_1,English,2021-06-15,False,False,178
message_1,English,2021-06-15,False,True,2
message_1,English,2021-06-15,True,False,550
message_1,English,2021-06-15,True,True,7
message_1,Spanish,2021-06-09,False,False,1
message_1,Spanish,2021-06-09,True,False,6
message_1,Spanish,2021-06-10,True,False,4
message_1,Spanish,2021-06-11,True,False,3
message_1,Spanish,2021-06-14,True,False,4
message_1,Spanish,2021-06-15,False,False,3
message_1,Spanish,2021-06-15,True,False,4
message_2,English,2021-05-25,True,False,1061
message_2,English,2021-05-25,True,True,51
message_2,English,2021-05-26,True,False,1068
message_2,English,2021-05-26,True,True,43
message_2,English,2021-05-27,True,False,1069
message_2,English,2021-05-27,True,True,42
message_2,English,2021-05-28,True,False,1083
message_2,English,2021-05-28,True,True,28
message_2,English,2021-06-02,False,False,856
message_2,English,2021-06-02,False,True,21
message_2,English,2021-06-02,True,False,246
message_2,English,2021-06-02,True,True,8
message_2,English,2021-06-03,False,False,909
message_2,English,2021-06-03,False,True,19
message_2,English,2021-06-03,True,False,197
message_2,English,2021-06-03,True,True,6
message_2,English,2021-06-04,False,False,882
message_2,English,2021-06-04,False,True,13
message_2,English,2021-06-04,True,False,231
message_2,English,2021-06-04,True,True,6
message_2,English,2021-06-07,False,False,883
message_2,English,2021-06-07,False,True,6
message_2,English,2021-06-07,True,False,232
message_2,English,2021-06-07,True,True,3
message_2,English,2021-06-08,False,False,903
message_2,English,2021-06-08,False,True,10
message_2,English,2021-06-08,True,False,211
message_2,English,2021-06-08,True,True,5
message_2,English,2021-06-09,False,False,23
message_2,English,2021-06-09,True,False,551
message_2,English,2021-06-09,True,True,10
message_2,English,2021-06-10,False,False,19
message_2,English,2021-06-10,True,False,555
message_2,English,2021-06-10,True,True,5
message_2,English,2021-06-11,False,False,17
message_2,English,2021-06-11,True,False,553
message_2,English,2021-06-11,True,True,8
message_2,English,2021-06-14,False,False,18
message_2,English,2021-06-14,True,False,561
message_2,English,2021-06-14,True,True,6
message_2,English,2021-06-15,False,False,14
message_2,English,2021-06-15,True,False,558
message_2,English,2021-06-15,True,True,6
message_2,Spanish,2021-06-09,True,False,3
message_2,Spanish,2021-06-10,True,False,8
message_2,Spanish,2021-06-11,True,False,9
message_2,Spanish,2021-06-14,True,False,2
message_2,Spanish,2021-06-15,False,False,1
message_2,Spanish,2021-06-15,True,False,7
message_3,English,2021-05-25,True,False,1062
message_3,English,2021-05-25,True,True,50
message_3,English,2021-05-26,True,False,1075
message_3,English,2021-05-26,True,True,36
message_3,English,2021-05-27,True,False,1078
message_3,English,2021-05-27,True,True,33
message_3,English,2021-05-28,True,False,1083
message_3,English,2021-05-28,True,True,28
message_3,English,2021-06-02,False,False,767
message_3,English,2021-06-02,False,True,19
message_3,English,2021-06-02,True,False,216
message_3,English,2021-06-02,True,True,8
message_3,English,2021-06-03,False,False,746
message_3,English,2021-06-03,False,True,18
message_3,English,2021-06-03,True,False,243
message_3,English,2021-06-03,True,True,3
message_3,English,2021-06-04,False,False,775
message_3,English,2021-06-04,False,True,12
message_3,English,2021-06-04,True,False,218
message_3,English,2021-06-04,True,True,6
message_3,English,2021-06-07,False,False,768
message_3,English,2021-06-07,False,True,10
message_3,English,2021-06-07,True,False,229
message_3,English,2021-06-07,True,True,4
message_3,English,2021-06-08,False,False,797
message_3,English,2021-06-08,False,True,11
message_3,English,2021-06-08,True,False,199
message_3,English,2021-06-08,True,True,4
